event_time,people
2020-02-04 17:17:35,1
2020-02-04 17:22:45,1
2020-02-04 17:22:52,2
2020-02-04 17:23:00,1
2020-07-28 16:25:20,1
2020-07-28 16:25:21,2
2020-07-28 16:25:26,1
2020-07-28 16:25:31,1
2020-07-28 16:25:41,3
2020-07-28 16:25:46,1
2020-07-28 16:25:51,2
2020-07-28 16:25:56,2
2020-07-28 16:26:01,1
2020-08-05 11:09:09,1
2020-08-05 11:09:11,1
2020-08-05 11:09:16,1
2020-08-05 11:09:21,2
2020-08-05 11:09:26,1
2020-08-05 18:30:21,2
2020-08-05 18:30:22,2
2020-08-05 18:30:27,2
2020-08-05 18:30:32,2
2020-08-05 18:30:37,1
2020-08-05 18:30:42,1
2020-08-05 18:30:47,2
2020-08-05 18:30:52,4
2020-08-05 18:30:57,2
2020-08-05 18:31:02,3
2020-08-05 18:31:07,3
2020-08-05 18:31:12,2
2020-08-05 18:31:17,1
2020-08-05 18:31:22,1
2020-08-05 18:31:27,2
2020-08-05 18:31:32,2
2020-08-05 18:31:37,4
2020-08-05 18:31:42,4
2020-08-05 18:31:47,2
2020-08-05 18:31:52,2
2020-08-05 18:31:57,2
2020-08-05 18:32:02,4
2020-08-05 18:32:12,1
2020-08-05 18:32:17,1
2020-08-05 18:32:22,1
2020-08-05 18:32:27,1
2020-08-05 18:32:32,1
2020-08-05 18:32:37,2
2020-08-05 18:32:42,1
2020-08-05 18:32:47,2
2020-08-05 18:32:52,2
2020-08-05 18:32:57,2
2020-08-05 20:03:59,3
2020-08-05 20:04:00,3
2020-08-05 20:04:05,3
2020-08-05 20:04:10,2
2020-08-05 20:04:15,1
2020-08-05 20:04:20,1
2020-08-05 20:04:25,2
2020-08-05 20:04:30,3
2020-08-05 20:04:35,1
2020-08-05 20:04:40,2
2020-08-05 20:04:45,1
2020-08-05 20:04:50,1
2020-08-05 20:04:55,1
2020-08-05 20:05:00,4
2020-08-05 20:05:05,2
2020-08-05 20:05:10,5
2020-08-05 20:05:15,2
2020-08-05 20:05:20,1
2020-08-05 20:05:25,1
2020-08-05 20:05:30,2
2020-08-05 20:05:35,1
2020-08-05 20:05:40,3
2020-08-05 20:05:45,2
2020-08-05 20:05:50,2
2020-08-05 20:05:55,3
2020-08-05 20:06:00,2
2020-08-10 19:34:57,1
2020-08-10 19:34:58,1
2020-08-10 19:35:03,1
2020-08-10 19:35:08,1
2020-08-10 19:35:13,1
2020-08-10 19:35:18,1
2020-08-10 19:35:23,1
2020-08-10 19:35:29,1
2020-08-10 19:35:34,1
2020-08-10 19:35:39,1
2020-08-10 19:35:44,1
2020-08-10 19:35:49,1
2020-08-10 19:35:54,1
2020-08-10 19:35:59,1
2020-08-10 19:36:04,1
2020-08-10 19:36:09,1
2020-08-10 19:36:14,1
2020-08-10 19:36:19,1
2020-08-10 19:36:24,1
2020-08-10 19:36:29,1
2020-08-10 19:36:34,1
2020-08-10 19:36:39,1
2020-08-10 19:36:44,1
2020-08-10 19:36:49,1
2020-08-10 19:36:54,1
2020-08-10 19:36:59,1
2020-08-10 19:37:04,1
2020-08-10 19:37:09,1
2020-08-10 19:37:14,1
2020-08-10 19:37:19,1
2020-08-10 19:37:24,1
2020-08-10 19:37:29,1
2020-08-10 19:37:34,1
2020-08-10 19:37:39,1
2020-08-10 19:37:44,1
2020-08-10 19:37:49,2
2020-08-10 19:37:54,1
2020-08-10 19:37:59,1
2020-08-10 19:38:04,1
2020-08-10 19:38:09,1
2020-08-10 19:38:14,1
2020-08-10 19:38:19,1
2020-08-10 19:38:24,2
2020-08-10 19:38:29,1
2020-08-10 19:38:34,1
2020-08-10 19:38:39,1
2020-08-10 19:38:44,1
2020-08-10 19:38:49,1
2020-08-10 19:38:54,1
2020-08-10 19:38:59,2
2020-08-10 19:39:04,1
2020-08-10 19:39:09,1
2020-08-10 19:39:14,1
2020-08-10 19:39:19,1
2020-08-10 19:39:24,1
2020-08-10 19:39:29,1
2020-08-10 19:39:34,1
2020-08-10 19:39:39,1
2020-08-10 19:39:44,1
2020-08-10 19:39:49,1
2020-08-10 19:39:54,2
2020-08-10 19:39:59,1
2020-08-10 19:40:04,3
2020-08-10 19:40:09,1
2020-08-10 19:40:14,1
2020-08-10 19:40:19,1
2020-08-10 19:40:24,1
2020-08-10 19:40:29,1
2020-08-10 19:40:34,1
2020-08-10 19:40:39,1
2020-08-10 19:40:44,2
2020-08-10 19:40:49,1
2020-08-10 19:40:54,1
2020-08-10 19:40:59,2
2020-08-10 19:41:04,1
2020-08-10 19:41:09,2
2020-08-10 19:41:14,1
2020-08-10 19:41:19,1
2020-08-10 19:41:24,1
2020-08-10 19:41:29,1
2020-08-10 19:41:34,1
2020-08-10 19:41:39,1
2020-08-10 19:41:45,1
2020-08-10 19:41:49,2
2020-08-10 19:41:55,1
2020-08-10 19:42:00,1
2020-08-10 19:42:05,1
2020-08-10 19:42:10,1
2020-08-10 19:42:14,1
2020-08-10 19:42:20,1
2020-08-10 19:42:25,1
2020-08-10 19:42:30,1
2020-08-10 19:42:35,1
2020-08-10 19:42:40,1
2020-08-10 19:42:45,1
2020-08-10 19:42:50,1
2020-08-10 19:42:55,1
2020-08-10 19:43:00,1
2020-08-10 19:43:05,1
2020-08-10 19:43:10,1
2020-08-10 19:43:15,1
2020-08-10 19:43:20,1
2020-08-10 19:43:25,1
2020-08-10 19:43:30,1
2020-08-10 19:43:35,1
2020-08-10 19:43:40,1
2020-08-10 19:43:45,1
2020-08-10 19:43:50,1
2020-08-10 19:43:55,1
2020-08-10 19:44:00,1
2020-08-10 19:44:05,1
2020-08-10 19:44:10,1
2020-08-10 19:44:15,1
2020-08-10 19:44:20,1
2020-08-10 19:44:25,1
2020-08-10 19:44:30,1
2020-08-10 19:44:50,1
2020-08-10 19:44:55,1
2020-08-10 19:45:00,1
2020-08-10 19:45:05,1
2020-08-10 19:45:10,1
2020-08-10 19:45:15,1
2020-08-10 19:45:20,1
2020-08-10 19:45:25,1
2020-08-10 19:45:30,2
2020-08-10 19:45:35,2
2020-08-10 19:45:40,1
2020-08-10 19:45:45,1
2020-08-10 19:45:50,1
2020-08-10 19:45:55,1
2020-08-10 19:46:00,1
2020-08-10 19:46:05,1
2020-08-10 19:46:10,2
2020-08-10 19:46:15,1
2020-08-10 19:46:20,2
2020-08-10 19:46:25,1
2020-08-10 19:46:30,1
2020-08-10 19:46:35,1
2020-09-15 20:18:53,1
2020-09-15 20:21:10,1
2020-09-15 20:24:08,1
2020-09-15 20:31:42,1
2020-09-15 20:31:43,1
2020-09-15 20:31:48,2
2020-09-15 20:31:53,1
2020-09-15 20:31:58,2
2020-09-15 20:32:03,1
2020-09-15 20:32:08,1
2020-09-15 21:00:21,1
2020-09-15 21:00:41,1
2020-09-15 21:01:05,1
2020-09-15 21:01:52,1
2020-09-16 10:46:12,2
2020-09-16 10:46:13,2
2020-09-16 10:46:18,2
2020-09-16 10:58:05,3
2020-09-16 10:58:06,2
2020-09-16 10:59:10,1
2020-09-16 10:59:30,1
2020-09-16 10:59:51,1
2020-09-16 11:00:37,2
2020-09-16 11:00:38,2
2020-09-16 11:00:43,2
2020-09-16 11:00:48,1
2020-09-16 11:00:53,1
2020-09-16 11:14:42,1
2020-09-16 11:14:43,2
2020-09-16 11:14:48,2
2020-09-16 11:14:53,2
2020-09-16 11:17:32,2
2020-09-16 11:17:33,2
2020-09-16 11:17:38,1
2020-09-16 11:39:16,2
2020-09-16 11:39:17,2
2020-09-16 11:39:22,2
2020-09-16 11:39:27,2
2020-09-16 11:39:32,2
2020-09-16 11:39:37,2
2020-09-18 09:34:31,1
2020-09-18 09:34:32,1
2020-09-18 09:34:37,1
2020-09-18 09:34:42,1
2020-09-18 09:34:47,1
2020-09-18 09:34:52,1
2020-09-18 09:34:57,1
2020-09-18 09:35:02,1
2020-09-20 17:09:11,1
2020-09-20 17:09:50,1
2020-09-20 17:10:12,1
2020-09-20 17:39:26,1
2020-09-20 17:39:34,2
2020-09-20 17:39:57,1
2020-09-20 17:40:08,1
2020-09-20 17:40:19,1
2020-09-20 17:41:19,3
2020-09-20 17:41:32,2
2020-09-20 17:41:43,1
2020-09-20 17:41:55,1
2020-09-20 17:42:06,1
2020-09-20 17:42:17,1
2020-09-20 17:43:07,1
2020-09-20 17:43:23,1
2020-09-20 17:43:50,2
2020-09-20 17:44:13,2
2020-09-20 17:44:36,1
2020-09-20 17:46:12,1
2020-09-20 17:46:25,4
2020-09-20 17:47:06,3
2020-09-20 18:04:53,2
2020-09-20 18:07:07,1
2020-09-20 18:07:24,1
2020-09-20 18:07:41,1
2020-09-20 18:07:58,1
2020-09-20 18:08:32,1
2020-09-20 18:09:57,1
2020-09-20 18:10:14,1
2020-09-20 18:10:31,1
2020-09-22 11:10:36,1
2020-09-22 11:10:37,1
2020-09-22 11:10:42,1
2020-09-22 11:10:47,1
2020-09-22 11:10:52,1
2020-09-22 11:10:57,1
2020-09-22 11:14:03,2
2020-09-22 11:14:04,1
2020-09-22 11:14:09,1
2020-09-22 11:14:14,1
2020-09-22 11:14:19,1
